Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
17,ANNA,GALLYAMOVA,RUS,5t6 5b6,0t 2b5,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
18,ASAKI,HAGIWARA,JPN,2t3 4b5,0t 1b2,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
19,ISABELL,LEINER,GER,3t5 4b6,0t 0b,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
19,KATJA,VIDMAR,SLO,5t10 5b8,0t 0b,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
21,PETRA,KLINGLER,SUI,2t4 4b10,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
21,REBEKKA,STOTZ,SUI,4t9 5b10,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
23,CECILE,AVEZOU,FRA,2t4 3b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
23,OLGA,BIBIK,RUS,3t3 5b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
25,JENNY,LAVARDA,ITA,3t3 5b7,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
25,VERA,ZIJLSTRA,NED,2t5 4b7,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
27,SABINE,BACHER,AUT,3t4 5b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
27,MONIKA,RETSCHY,GER,1t1 5b10,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
29,PETRA,RUZICKOVA,CZE,1t1 4b7,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
29,OLGA,SHALAGINA,UKR,3t4 5b7,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
31,DINARA,FAKHRITDINOVA,RUS,3t4 4b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
31,ANGELA,PAYNE,USA,1t1 4b9,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
33,TABEA,SCHWAB,SUI,1t1 3b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Women
