Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
53,SOFYA,YOKOYAMA,SUI,1t4z 2 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
55,MOMOKA,KANEKO,JPN,1t4z 2 11,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
55,CELINA,SCHOIBL,AUT,1t3z 4 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
57,MEAGAN,MARTIN,USA,1t3z 4 14,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
57,GIULIA,MEDICI,ITA,1t3z 1 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
59,LISA,CHULICH,USA,1t2z 2 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
59,ANNA,TSYGANOVA,RUS,1t3z 2 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
61,NÓRA,KIRÁLY,HUN,1t3z 3 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
61,KAROLINE,SINNHUBER,AUT,1t2z 7 13,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
63,VALENTINA,AGUADO,ARG,1t1z 1 1,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
63,ALMA,BESTVATER,GER,1t3z 4 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
63,JULIA,CHANOURDIE,FRA,1t1z 1 1,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
63,NANAKO,KURA,JPN,1t1z 1 1,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
67,AFRA,HÖNIG,GER,1t3z 4 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
68,ROMY,FUCHS,GER,1t3z 5 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
69,TINA JOHNSEN,HAFSAAS,NOR,1t3z 5 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
69,ELENA,KRASOVSKAIA,RUS,1t1z 4 4,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
71,JULIA,MEIJER,NED,0t5z 0 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
71,MARTINA,ZANETTI,ITA,1t1z 7 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
73,CHARLOTTE,ANDRE,FRA,0t4z 0 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
73,MARGARYTA,ZAKHAROVA,UKR,0t2z 0 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
75,KATRIN,AMANN,SWE,0t1z 0 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
75,HELOÏSE,DOUMONT,BEL,0t1z 0 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
75,ANNE-SOPHIE,KOLLER,SUI,0t4z 0 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
75,FRANZISKA,STERRER,AUT,0t4z 0 8,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
79,FLAVY,COHAUT,FRA,0t4z 0 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
79,HOLLY,TOOTHILL,GBR,0t1z 0 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
81,MADISON,FISCHER,CAN,0t3z 0 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
81,YSA,RAKESTRAW,NED,0t3z 0 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
81,JENNIFER,WOOD,GBR,0t1z 0 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
84,Mª CARMEN,ALARCÓN GRAU,ESP,0t1z 0 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,NASIM,BIYARJOMANDY,IRI,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,MARIE,COLOT,BEL,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,LUCIE,DELCOIGNE,BEL,0t3z 0 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,ASJA,GOLLO,ITA,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,MIE (MARIE THERESE),KASTET,NOR,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,CIRVELE,KATRĪNA,LAT,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,ALLA,MARENYCH,UKR,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
85,ALISE,ZVIGULE,LAT,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
93,ZOÉ,EGLI,SUI,0t3z 0 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
93,TIBA,VROOM,NED,0t3z 0 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
95,VALERI,KREMER,ISR,0t3z 0 16,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
96,HEEYEON,PARK,KOR,0t2z 0 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
97,ITZIAR,ZABALA ZURINAGA,ESP,0t2z 0 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
