Rank,Name,,Country,Qualification,Final,event_name,Date,Gender
56,YUDAI,IKEDA,JPN,6.18,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
57,DAESEONG,KIM,KOR,6.22,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
58,ZACH,HAMMER,USA,6.23,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
59,QUINN,O'FRANCIA,USA,6.25,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
60,MATVEY,YESSIPOV,KAZ,6.30,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
61,DANYIL,BOLDYREV,UKR,6.35,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
62,ADRIEN,LEVESQUE,CAN,6.51,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
63,ISAAC,ESTEVEZ,ECU,6.53,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
64,MOTONORI,TABUCHI,JPN,6.73,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
65,HAYDEN,BARTON,AUS,6.93,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
66,MOHD IZZAT,MOHD SHOKOR,MAS,7.03,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
67,VALENTIN,STERNIK,ARG,7.08,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
68,JIT YI,DENZEL CHUA,SGP,7.44,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
69,TAN,BING QIAN,SGP,7.45,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
70,DARREN,SKOLNIK,USA,8.63,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
71,TARIM,MEHMET ALİ,TUR,10.27,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
72,LUDOVICO,FOSSALI,ITA,fall,,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
1,ALEKSANDRA,MIROSLAW,POL,6.36,6.43,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
2,DESAK,MADE RITA KUSUMA DEWI,INA,6.65,6.52 (asr),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
3,ALEKSANDRA,KALUCKA,POL,6.82,6.64,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
4,LIJUAN,DENG,CHN,6.745,6.65,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
5,DI,NIU,CHN,7.03,6.74,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
6,NATALIA,KALUCKA,POL,6.749,fall (6.749),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
7,EMMA,HUNT,USA,6.97,6.79 (par),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
8,RAJIAH,SALLSABILLAH,INA,6.92,6.84,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
9,NURUL,IQAMAH,INA,7.05,7.20 (7.53),IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Women
