Name,AthleteUrl,Gender,Height,Active,Participations,Age
Pierre REBREYEND,https://ifsc.results.info/#/athlete/494,Men,180,2012,38,26
Sabri SABRI,https://ifsc.results.info/#/athlete/3274,Men,-,2011,20,28
Pangeran SEPTO WIBOWO SIBURIAN,https://ifsc.results.info/#/athlete/3316,Men,-,2017,15,29
Aditya TRI SYAHRIA,https://ifsc.results.info/#/athlete/14087,Men,-,2022,2,20
Raharjati NURSAMSA,https://ifsc.results.info/#/athlete/13547,Men,-,2022,5,23
Aswin Kristanto RAMASKI,https://ifsc.results.info/#/athlete/14088,Men,-,2022,2,18
Hinayah MUHAMMAD,https://ifsc.results.info/#/athlete/3318,Men,-,2017,15,28
Alisher MURAT,https://ifsc.results.info/#/athlete/10820,Men,-,2012,19,26
Beknur ALTYNBEKOV,https://ifsc.results.info/#/athlete/3397,Men,-,2016,29,22
Matvey YESSIPOV,https://ifsc.results.info/#/athlete/3410,Men,-,2017,25,20
Daeseong KIM,https://ifsc.results.info/#/athlete/11981,Men,178,2019,5,23
Mohd Izzat MOHD SHOKOR,https://ifsc.results.info/#/athlete/3348,Men,175,2016,5,31
Tan BING QIAN,https://ifsc.results.info/#/athlete/3683,Men,-,2017,4,23
Jit Yi DENZEL CHUA,https://ifsc.results.info/#/athlete/11967,Men,-,2019,6,18
Aphiwit LIMPANICHPAKDEE,https://ifsc.results.info/#/athlete/3941,Men,-,2017,21,20
Tarim MEHMET ALİ,https://ifsc.results.info/#/athlete/13683,Men,-,2022,7,17
Nuria BROCKFELD,https://ifsc.results.info/#/athlete/11597,Women,-,2019,24,20
Susan NURHIDAYAH,https://ifsc.results.info/#/athlete/13736,Women,-,2022,3,20
Narda Mutia AMANDA,https://ifsc.results.info/#/athlete/11364,Women,-,2018,9,20
Alivany VER KHADIJAH,https://ifsc.results.info/#/athlete/3334,Women,-,2017,9,22
Eka DIAN KRISMAWATI,https://ifsc.results.info/#/athlete/14093,Women,-,2022,2,23
Puja LESTARI,https://ifsc.results.info/#/athlete/13734,Women,-,2022,3,20
Berthdigna Devi Surya KUSUMA,https://ifsc.results.info/#/athlete/3301,Women,-,2015,7,25
Nurma ANJANI,https://ifsc.results.info/#/athlete/14486,Women,-,2023,1,20
Liberty RUNNELS,https://ifsc.results.info/#/athlete/13551,Women,170,2022,10,17
Samuel HEALY,https://ifsc.results.info/#/athlete/14139,Men,-,2023,1,26
Mateus RODRIGUES BELLOTTO,https://ifsc.results.info/#/athlete/11836,Men,-,2019,30,20
Sean MCCOLL,https://ifsc.results.info/#/athlete/1559,Men,169,2001,247,36
Jack MACDOUGALL,https://ifsc.results.info/#/athlete/11502,Men,178,2019,24,18
Nika IOSELIANI,https://ifsc.results.info/#/athlete/2473,Men,-,2017,4,23
Yannick NAGEL,https://ifsc.results.info/#/athlete/12335,Men,175,2020,29,18
Marcello BOMBARDI,https://ifsc.results.info/#/athlete/854,Men,177,2007,175,30
Ao YURIKUSA,https://ifsc.results.info/#/athlete/11832,Men,175,2019,38,21
Rolands RUGENS,https://ifsc.results.info/#/athlete/4150,Men,-,2007,86,31
Thor VILLEGAS GARCÍA,https://ifsc.results.info/#/athlete/4207,Men,-,2015,16,22
Jair Octavio MORENO MONTOYA,https://ifsc.results.info/#/athlete/11842,Men,-,2019,12,20
William FLORES,https://ifsc.results.info/#/athlete/14566,Men,-,2023,1,26
Gregor VEZONIK,https://ifsc.results.info/#/athlete/1131,Men,176,2009,88,28
Zander WALLER,https://ifsc.results.info/#/athlete/1934,Men,182,2017,18,20
Nathaniel COLEMAN,https://ifsc.results.info/#/athlete/1778,Men,182,2014,52,27
Ellis ERNSBERGER,https://ifsc.results.info/#/athlete/2004,Men,170,2018,13,20
Kevin AMON,https://ifsc.results.info/#/athlete/13703,Men,-,2022,23,19
Jack WHITNEY,https://ifsc.results.info/#/athlete/13933,Men,-,2022,3,18
Gabriel CANCEL,https://ifsc.results.info/#/athlete/13951,Men,-,2022,5,16
Giorgi JAPARIDZE,https://ifsc.results.info/#/athlete/2463,Men,-,2013,6,27
Giga JANKHOTELI,https://ifsc.results.info/#/athlete/2456,Men,-,2012,10,30
Linus BADER,https://ifsc.results.info/#/athlete/11603,Men,181,2019,33,21
Ginta UEGAKI,https://ifsc.results.info/#/athlete/14009,Men,-,2022,5,17
Kazuki TANII,https://ifsc.results.info/#/athlete/13999,Men,-,2022,5,17
Andrés ALENCASTER,https://ifsc.results.info/#/athlete/13888,Men,-,2022,3,19
Joshua BRUYNS,https://ifsc.results.info/#/athlete/12310,Men,-,2020,23,20
Kostiantyn PAVLENKO,https://ifsc.results.info/#/athlete/1492,Men,182,2012,82,25
Evan HOMAN,https://ifsc.results.info/#/athlete/14557,Men,-,2023,1,17
Joey KIM,https://ifsc.results.info/#/athlete/14571,Men,-,2023,2,17
Richard LI,https://ifsc.results.info/#/athlete/13033,Men,-,2021,8,17
Aidan GODDARD,https://ifsc.results.info/#/athlete/13664,Men,-,2022,3,26
Zoe GARCIA MOLINA,https://ifsc.results.info/#/athlete/11998,Women,-,2019,21,19
Valentina AGUADO,https://ifsc.results.info/#/athlete/3161,Women,-,2015,89,22
