FName,LName,full_name,ExtraData,AthleteURL
YUJU,MOU,YUJU MOU,CHN • 2005,https://ifsc.results.info/#/athlete/13609
LUCA,ROBBIATI,LUCA ROBBIATI,ITA • 2003,https://ifsc.results.info/#/athlete/13353
MARCEAU,GARNIER,MARCEAU GARNIER,FRA • 2001,https://ifsc.results.info/#/athlete/612
LINUS,BADER,LINUS BADER,GER • 2002,https://ifsc.results.info/#/athlete/11603
GUSTAVO JOSE,PEREZ,GUSTAVO JOSE PEREZ,VEN • 2001,https://ifsc.results.info/#/athlete/3182
MIKOLAJ,WROBLEWSKI,MIKOLAJ WROBLEWSKI,POL • 1997,https://ifsc.results.info/#/athlete/8835
SHO,TAKENAKA,SHO TAKENAKA,JPN • 2003,https://ifsc.results.info/#/athlete/14726
DORIAN,ZEDLER,DORIAN ZEDLER,GER • 2002,https://ifsc.results.info/#/athlete/12743
LAWRENCE,BOGESCHDORFER,LAWRENCE BOGESCHDORFER,AUT • 2002,https://ifsc.results.info/#/athlete/1317
MATTHEW,FALL,MATTHEW FALL,GBR • 2002,https://ifsc.results.info/#/athlete/13806
TOMAS,CHICAIZA DAVILA,TOMAS CHICAIZA DAVILA,ECU • 2005,https://ifsc.results.info/#/athlete/12045
JOSE TOMAS,LEDESMA,JOSE TOMAS LEDESMA,CHI • 2004,https://ifsc.results.info/#/athlete/11857
CHAD,HORTON,CHAD HORTON,AUS • 1998,https://ifsc.results.info/#/athlete/14354
PEDRO,EGG,PEDRO EGG,BRA • 2001,https://ifsc.results.info/#/athlete/11881
AODHAN,UMLAUF,AODHAN UMLAUF,GER • 2007,https://ifsc.results.info/#/athlete/12742
CARLA,MARTÍNEZ VIDAL,CARLA MARTÍNEZ VIDAL,ESP • 2002,https://ifsc.results.info/#/athlete/13761
LESLIE ADRIANA,ROMERO PÉREZ,LESLIE ADRIANA ROMERO PÉREZ,ESP • 1998,https://ifsc.results.info/#/athlete/13373
SOFIA,BELLESINI,SOFIA BELLESINI,ITA • 2005,https://ifsc.results.info/#/athlete/11598
AGNESE,FIORIO,AGNESE FIORIO,ITA • 2006,https://ifsc.results.info/#/athlete/13342
NELE,THOMAS,NELE THOMAS,GER • 2007,https://ifsc.results.info/#/athlete/12741
MAHYA,DARABIAN,MAHYA DARABIAN,IRI • 2002,https://ifsc.results.info/#/athlete/3524
ABBY,GEBERT,ABBY GEBERT,NZL • 2004,https://ifsc.results.info/#/athlete/3772
CARMEN,CONTRERAS,CARMEN CONTRERAS,CHI • 2004,https://ifsc.results.info/#/athlete/3912
ANAHÍ,RIVEROS,ANAHÍ RIVEROS,CHI • 2004,https://ifsc.results.info/#/athlete/11825
HRYHORII,ILCHYSHYN,HRYHORII ILCHYSHYN,UKR • 2004,https://ifsc.results.info/#/athlete/1547
DENYS,MOZOLEVYCH,DENYS MOZOLEVYCH,UKR • 2005,https://ifsc.results.info/#/athlete/11738
MEHDI,ALIPOUR SHENAZANDIFARD,MEHDI ALIPOUR SHENAZANDIFARD,IRI • 1998,https://ifsc.results.info/#/athlete/3477
SIRAPOB,JIRAJATURAPAK,SIRAPOB JIRAJATURAPAK,THA • 2000,https://ifsc.results.info/#/athlete/3939
PAOLO,RIVADENEIRA,PAOLO RIVADENEIRA,ECU • 2004,https://ifsc.results.info/#/athlete/3242
HUBERT,PRZYTULA,HUBERT PRZYTULA,POL • 1993,https://ifsc.results.info/#/athlete/2853
VALERIY,SERDYUK,VALERIY SERDYUK,KAZ • 1999,https://ifsc.results.info/#/athlete/3390
SANGMIN,KIM,SANGMIN KIM,KOR • 1998,https://ifsc.results.info/#/athlete/2095
PETR,BURIAN,PETR BURIAN,CZE • 1991,https://ifsc.results.info/#/athlete/1393
AARON,MATTES,AARON MATTES,AUS • 2002,https://ifsc.results.info/#/athlete/11841
